S_ID,BRANCH,GPA_2,RANK,S_ID ,S_NAME,P_ID,P_NAME,R_NAME,FEE_NAME,S_PARENT,gpamat,gpasci,GPA,GPA_MATCH,GPA_SCI
65836,3,3.03,1,84038,เมืองสุราษฎร์ธานี,84,สุราษฎร์ธานี,S,0,1,1.7,1.75,3,1.7,1.8
65843,2,2.71,1,81012,อ่าวลึกประชาสรรค์,81,กระบี่,S,0,2,1.83,1.87,2.7,1.8,1.9
65881,0,2.66,1,80086,สิชลคุณาธารวิทยา,80,นครศรีธรรมราช,S,0,3,1.62,2.1,2.7,1.6,2.1
65915,0,2.67,1,80052,ปากพนัง,80,นครศรีธรรมราช,S,0,2,1.25,2.87,2.7,1.3,2.9
65942,0,2.3,0,1083400060,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,83,ภูเก็ต,S,0,2,2.5,3.37,2.3,2.5,3.4
65949,1,3.08,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,S,0,1,1.69,2.37,3.1,1.7,2.4
65950,3,3.4,1,84005,เขาพนมแบกศึกษา,84,สุราษฎร์ธานี,S,0,1,2.97,2.1,3.4,3,2.1
65996,2,3.54,1,92004,คันธพิทยาคาร,92,ตรัง,S,0,1,3.37,3.2,3.5,3.4,3.2
66223,0,2.46,0,1083400060,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,83,ภูเก็ต,S,0,2,2,3,2.5,2,3
66017,2,2.97,1,80052,ปากพนัง,80,นครศรีธรรมราช,S,0,3,1.51,3,3,1.5,3
66042,0,2.22,1,84012011,เตรียมอุดมศึกษาพัฒนาการ สุราษฎร์ธานี,84,สุราษฎร์ธานี,S,0,3,1.5,1.53,2.2,1.5,1.5
66055,3,2.48,1,92001,กันตังพิทยากร,92,ตรัง,S,0,1,1.51,2.76,2.5,1.5,2.8
66058,2,2.68,1,80052,ปากพนัง,80,นครศรีธรรมราช,S,0,1,1.23,2.75,2.7,1.2,2.8
66262,1,3.28,0,90031,วรนารีเฉลิม จังหวัดสงขลา,90,สงขลา,S,0,2,1.2,2.1,3.3,1.2,2.1
66066,0,2.31,1,80058,พิปูนสังฆรักษ์ประชาอุทิศ,80,นครศรีธรรมราช,S,0,2,1.93,1.41,2.3,1.9,1.4
66077,3,2.85,1,80006,ขนอมพิทยา,80,นครศรีธรรมราช,S,0,1,1.62,2.04,2.9,1.6,2
66089,0,2.83,1,80086,สิชลคุณาธารวิทยา,80,นครศรีธรรมราช,S,0,1,2.08,2.87,2.8,2.1,2.9
66092,0,2.55,1,80055,พรหมคีรีพิทยาคม,80,นครศรีธรรมราช,S,0,3,1.33,2,2.6,1.3,2
66140,3,2.05,1,80028,เชียรใหญ่,80,นครศรีธรรมราช,S,0,2,2.54,1.53,2.1,2.5,1.5
66156,3,2.64,1,91007,ท่าศิลาบำรุงราษฎร์,91,สตูล,S,0,1,2.4,2.31,2.6,2.4,2.3
66220,0,2.43,1,80006,ขนอมพิทยา,80,นครศรีธรรมราช,S,0,1,1.7,2.44,2.4,1.7,2.4
66236,1,3.28,0,1083400060,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,83,ภูเก็ต,S,0,2,1.22,1.83,3.3,1.2,1.8
66244,0,2.54,1,84038,เมืองสุราษฎร์ธานี,84,สุราษฎร์ธานี,S,0,2,1.25,1.62,2.5,1.3,1.6
66245,0,2.87,0,83007,สตรีภูเก็ต,83,ภูเก็ต,S,0,2,1.5,2.12,2.9,1.5,2.1
66259,0,2.41,1,84009,เคียนซาพิทยาคม,84,สุราษฎร์ธานี,S,0,2,2.94,2.02,2.4,2.9,2
66278,2,2.45,1,90038,"สะเดา ""ขรรค์ชัยกัมพลานนท์อนุสรณ์""",90,สงขลา,S,0,2,1.5,2.37,2.5,1.5,2.4
66283,3,3.24,1,80066,โยธินบำรุง,80,นครศรีธรรมราช,S,0,2,2.58,2.04,3.2,2.6,2
66285,2,3.42,0,93029,สตรีพัทลุง,93,พัทลุง,S,0,1,2.25,2.29,3.4,2.3,2.3
66299,2,2.72,1,80100052,ประทีปศาสน์,80,นครศรีธรรมราช,S,0,2,2.92,2.66,2.7,2.9,2.7
66300,0,2.53,0,90048,หาดใหญ่วิทยาลัย,90,สงขลา,S,0,3,1.25,3.12,2.5,1.3,3.1
66322,1,2.47,0,90048,หาดใหญ่วิทยาลัย,90,สงขลา,S,0,2,1,2.71,2.5,1,2.7
66306,2,3.11,0,83007,สตรีภูเก็ต,83,ภูเก็ต,S,0,1,2.5,3,3.1,2.5,3
66323,1,2.89,0,90048,หาดใหญ่วิทยาลัย,90,สงขลา,S,0,3,1.25,2.37,2.9,1.3,2.4
66343,2,2.26,1,10,หาดใหญ่เจริญราษฎร์พิทยา,90,สงขลา,S,0,3,1.86,1.97,2.3,1.9,2
66377,0,2.09,1,90044,หาดใหญ่พิทยาคม,90,สงขลา,S,0,1,1.46,1.79,2.1,1.5,1.8
66388,0,2.24,1,96034,สุคิรินวิทยา,96,นราธิวาส,S,0,2,2.45,2.03,2.2,2.5,2
66420,0,2.32,1,80055,พรหมคีรีพิทยาคม,80,นครศรีธรรมราช,S,0,2,1.16,1.87,2.3,1.2,1.9
66469,2,2.59,1,80082,สระแก้วรัตนวิทย์,80,นครศรีธรรมราช,S,0,1,2.45,2.09,2.6,2.5,2.1
66498,2,2.64,0,90031,วรนารีเฉลิม จังหวัดสงขลา,90,สงขลา,S,0,1,1.08,2.07,2.6,1.1,2.1
66504,2,2.37,1,81001,คลองท่อมราษฎร์รังสรรค์,81,กระบี่,S,0,2,3,2.92,2.4,3,2.9
66528,3,3.13,0,80002,กัลยาณีศรีธรรมราช,80,นครศรีธรรมราช,S,0,3,2.55,2.5,3.1,2.6,2.5
66539,0,2.67,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,S,0,3,2.6,1.86,2.7,2.6,1.9
66544,2,2.55,0,90048,หาดใหญ่วิทยาลัย,90,สงขลา,S,0,2,1.37,2.82,2.6,1.4,2.8
66670,2,2.33,1,90028,ระโนดวิทยา,90,สงขลา,S,0,1,1.82,2.2,2.3,1.8,2.2
66732,1,3.35,1,80111,วิทยาลัยอาชีวศึกษานครศรีธรรมราช,80,นครศรีธรรมราช,S,0,1,2.75,2.75,3.4,2.8,2.8
66782,0,2.23,1,0,บ้านแป้นพิทยาคม,51,ลำพูน,N,0,1,2.42,2.3,2.2,2.4,2.3
66789,1,2.42,1,94105,วิทยาลัยอาชีวศึกษาปัตตานี,94,ปัตตานี,S,0,3,4,3.5,2.4,4,3.5
66800,3,2.53,1,83940202,มูลนิธิอาซิซสถาน,94,ปัตตานี,S,0,1,1.25,2.22,2.5,1.3,2.2
66817,3,2.43,1,84026,บ้านนาสาร,84,สุราษฎร์ธานี,S,0,2,1.26,1.88,2.4,1.3,1.9
66825,3,2.76,1,80067,ร่อนพิบูลย์เกียรติวสุนธราภิวัฒก์,80,นครศรีธรรมราช,S,0,2,2.31,1.76,2.8,2.3,1.8
66826,2,2.1,1,84012011,เตรียมอุดมศึกษาพัฒนาการ สุราษฎร์ธานี,84,สุราษฎร์ธานี,S,0,1,1.07,2.3,2.1,1.1,2.3
66845,2,2.6,1,84110,วิทยาลัยอาชีวศึกษาสุราษฎร์ธานี,84,สุราษฎร์ธานี,S,0,3,2.5,2.5,2.6,2.5,2.5
66848,2,2.73,1,83104,วิทยาลัยอาชีวะศึกษาภูเก็ต,83,ภูเก็ต,S,0,1,1.25,2,2.7,1.3,2
66864,2,2.5,0,82007,"ตะกั่วป่า""เสนานุกูล""",82,พังงา,S,0,2,1.76,2.3,2.5,1.8,2.3
66867,0,2.9,1,5,ศูนย์การศึกษานอกโรงเรียนจังหวัดปัตตานี,94,ปัตตานี,S,0,1,2,3,2.9,2,3
66875,2,2.58,1,83104,วิทยาลัยอาชีวะศึกษาภูเก็ต,83,ภูเก็ต,S,0,1,2,2.75,2.6,2,2.8
