S_ID,BRANCH,F_ID,F_NAME,GPA,E-GPA,ADMITACADYEAR,ACADYEAR,SEMESTER,RANK,S_NAME,P_NAME,R_NAME,FEE_NAME,ENTRYNAME,S_PARENT
65647,MTA,22,สารสนเทศศาสตร์,2.12,2.92,2559,2562,3,1,เทศบาล 5,สุราษฎร์ธานี,S,BDA,3,3
65675,ITD,22,สารสนเทศศาสตร์,3.85,3.46,2559,2562,2,1,ศรีธรรมราชศึกษา,นครศรีธรรมราช,S,BDA,3,3
65679,DCA,22,สารสนเทศศาสตร์,2.09,2.45,2559,2562,2,1,แหลมราษฎร์บำรุง,นครศรีธรรมราช,S,BDA,3,2
65682,ITD,22,สารสนเทศศาสตร์,2.9,2.28,2559,2562,3,1,ท่าศาลาประสิทธิ์ศึกษา,นครศรีธรรมราช,S,BDA,3,1
65687,MTA,22,สารสนเทศศาสตร์,2.5,2.44,2559,2562,3,1,เขาชัยสน,พัทลุง,S,BDA,3,2
65690,DCA,22,สารสนเทศศาสตร์,3.22,2.5,2559,2562,2,1,ตรังคริสเตียนศึกษา,ตรัง,S,BDA,3,3
65699,MTA,22,สารสนเทศศาสตร์,2.62,2.74,2559,2562,2,1,ตรังวิทยา,ตรัง,S,BDA,3,1
65728,MTA,22,สารสนเทศศาสตร์,2.8,2.78,2559,2562,2,2,ทุ่งสง,นครศรีธรรมราช,S,BDA,3,2
65717,DCA,22,สารสนเทศศาสตร์,2.5,2.21,2559,2562,3,1,เทพมิตรศึกษา,สุราษฎร์ธานี,S,BDA,3,2
65733,DCA,22,สารสนเทศศาสตร์,2.98,3.22,2559,2562,2,2,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,ภูเก็ต,S,BDA,3,2
65746,DCA,22,สารสนเทศศาสตร์,2.33,2.14,2559,2562,2,1,หาดใหญ่พิทยาคม,สงขลา,S,BDA,3,1
65760,DCA,22,สารสนเทศศาสตร์,2.63,2.66,2559,2562,2,1,คลองยางประชานุสรณ์,กระบี่,S,BDA,3,1
65782,DCA,22,สารสนเทศศาสตร์,2.93,2.57,2559,2562,3,0,กัลยาณีศรีธรรมราช,นครศรีธรรมราช,S,BDA,3,3
65795,MTA,22,สารสนเทศศาสตร์,2.68,3.19,2559,2562,3,1,ดารุสสาลาม,นราธิวาส,S,BDA,3,1
65827,DCM,22,สารสนเทศศาสตร์,3.78,2.48,2559,2562,3,1,ปากพนัง,นครศรีธรรมราช,S,BDA,3,3
65830,DCA,22,สารสนเทศศาสตร์,2.1,2.45,2559,2562,2,1,ฉวางรัชดาภิเษก,นครศรีธรรมราช,S,BDA,3,2
65836,ITD,22,สารสนเทศศาสตร์,3.03,2.4,2559,2562,3,1,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,S,BDA,3,1
65843,MTA,22,สารสนเทศศาสตร์,2.71,2.33,2559,2562,3,1,อ่าวลึกประชาสรรค์,กระบี่,S,BDA,3,2
65875,DCA,22,สารสนเทศศาสตร์,2.12,2.24,2559,2563,2,1,ชะอวดวิทยาคาร,นครศรีธรรมราช,S,BDA,3,1
65881,DCA,22,สารสนเทศศาสตร์,2.66,2.55,2559,2562,3,1,สิชลคุณาธารวิทยา,นครศรีธรรมราช,S,BDA,3,3
65887,MTA,22,สารสนเทศศาสตร์,2.17,2.67,2559,2564,3,1,ดาวรุ่งวิทยา,ภูเก็ต,S,BDA,3,3
65915,DCA,22,สารสนเทศศาสตร์,2.67,2.71,2559,2562,2,1,ปากพนัง,นครศรีธรรมราช,S,BDA,3,2
65917,MTA,22,สารสนเทศศาสตร์,2.62,3.02,2559,2563,1,1,ท่าศาลาประสิทธิ์ศึกษา,นครศรีธรรมราช,S,BDA,3,1
