S_ID,BRANCH,GPA_2,RANK,S_ID ,S_NAME,P_ID,P_NAME,R_NAME,FEE_NAME,S_PARENT,gpamat,gpasci,gpaeng,GPA,GPA_MATCH,GPA_SCI,gpaeng
78908,1,3.18,1,81900101,วชิรานุกูล,90,สงขลา,S,2,3,3.87,1.37,1.67,3.2,3.9,1.4,1.7
78915,1,3.32,1,80107,ท่านครญาณวโรภาสอุทิศ,80,นครศรีธรรมราช,S,2,1,3,3,1.9,3.3,3,3,1.9
78924,0,2.75,1,84110,วิทยาลัยอาชีวศึกษาสุราษฎร์ธานี,84,สุราษฎร์ธานี,S,2,1,2.32,1.5,2.48,2.8,2.3,1.5,2.5
78926,0,3.28,0,80002,กัลยาณีศรีธรรมราช,80,นครศรีธรรมราช,S,2,3,1.96,2.75,2.19,3.3,2,2.8,2.2
78938,4,3.1,0,84045,สุราษฎร์ธานี,84,สุราษฎร์ธานี,S,2,3,2.18,1.5,2.97,3.1,2.2,1.5,3
78955,2,2.83,0,80002,กัลยาณีศรีธรรมราช,80,นครศรีธรรมราช,S,2,3,1.8,2.36,3.01,2.8,1.8,2.4,3
78965,2,2.95,0,84045,สุราษฎร์ธานี,84,สุราษฎร์ธานี,S,2,3,3.15,2.39,2.04,3,3.2,2.4,2
78996,0,2.92,1,83301,กะทู้วิทยา,83,ภูเก็ต,S,2,3,2.43,3.46,1.79,2.9,2.4,3.5,1.8
79016,3,2.91,1,80037,ท่าศาลาประสิทธิ์ศึกษา,80,นครศรีธรรมราช,S,2,2,2.1,2.4,2.13,2.9,2.1,2.4,2.1
79229,0,2.99,0,92020,วิเชียรมาตุ,92,ตรัง,S,2,2,1.56,3.42,2.7,3,1.6,3.4,2.7
79033,2,2.86,1,80037,ท่าศาลาประสิทธิ์ศึกษา,80,นครศรีธรรมราช,S,2,1,1.88,2.75,2.36,2.9,1.9,2.8,2.4
79032,4,3.16,0,83007,สตรีภูเก็ต,83,ภูเก็ต,S,2,3,3.46,3.01,2.83,3.2,3.5,3,2.8
79050,4,3.59,1,90030,รุ่งโรจน์วิทยา,90,สงขลา,S,2,1,3.16,2.05,2.98,3.6,3.2,2.1,3
79055,1,3.38,1,2,มัดร่อซาตุลอุลูมิดดีน,80,นครศรีธรรมราช,S,2,3,3.26,3.02,3.15,3.4,3.3,3,3.2
79063,2,3.52,1,86013,สวนศรีวิทยา,86,ชุมพร,S,2,1,1.79,1.61,1.95,3.5,1.8,1.6,2
79067,3,2.6,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,S,2,1,3.31,2.59,3.66,2.6,3.3,2.6,3.7
79071,4,3.5,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,S,2,2,2.76,3.6,3.26,3.5,2.8,3.6,3.3
79098,1,3.45,1,36901,เทพสถิตวิทยา,36,ชัยภูมิ,EN,2,1,3.5,3.7,3.61,3.5,3.5,3.7,3.6
79226,1,3.79,0,1083400060,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,83,ภูเก็ต,S,2,2,1.59,1.93,3,3.8,1.6,1.9,3
79128,0,2.93,1,81840101,เทพมิตรศึกษา,84,สุราษฎร์ธานี,S,2,2,2.92,2.93,3.3,2.9,2.9,2.9,3.3
79133,2,3.24,1,3802102,นบพิตำวิทยา,80,นครศรีธรรมราช,S,2,1,2.36,2.51,2.75,3.2,2.4,2.5,2.8
79138,4,3.61,0,80032,เตรียมอุดมศึกษาภาคใต้,80,นครศรีธรรมราช,S,2,3,3.4,2.13,2.7,3.6,3.4,2.1,2.7
79175,0,2.96,1,93017,ป่าพะยอมพิทยาคม,93,พัทลุง,S,2,1,2.1,2.8,3.07,3,2.1,2.8,3.1
79228,4,3.35,1,80015,วิทยาศาสตร์จุฬาภรณราชวิทยาลัย นครศรีธรรมราช,80,นครศรีธรรมราช,S,2,0,2.18,2.25,2.66,3.4,2.2,2.3,2.7
79233,2,2.67,0,80080,สตรีทุ่งสง,80,นครศรีธรรมราช,S,2,3,2.7,1.83,2.26,2.7,2.7,1.8,2.3
79241,2,3.15,1,80028,เชียรใหญ่,80,นครศรีธรรมราช,S,2,1,2.46,2.25,2.97,3.2,2.5,2.3,3
79262,2,3.29,1,99840001,เทศบาล 5,84,สุราษฎร์ธานี,S,2,2,2.3,1.75,1.8,3.3,2.3,1.8,1.8
79263,0,3.21,1,92022,สภาราชินี 2,92,ตรัง,S,2,2,1.96,2.4,2.77,3.2,2,2.4,2.8
79273,3,3.43,0,80002,กัลยาณีศรีธรรมราช,80,นครศรีธรรมราช,S,2,2,2.46,2.75,2.85,3.4,2.5,2.8,2.9
79280,1,3.62,1,92024,สามัคคีศึกษา,92,ตรัง,S,2,1,3.11,3.02,2.48,3.6,3.1,3,2.5
79304,0,2.65,1,81007,เมืองกระบี่,81,กระบี่,S,2,2,2.5,3.5,3.5,2.7,2.5,3.5,3.5
79317,2,2.87,1,80118,วิทยาลัยศิลปหัตถกรรมนครศรีธรรมราช,80,นครศรีธรรมราช,S,2,2,3.14,3.34,3.1,2.9,3.1,3.3,3.1
79322,2,3.52,1,92016,ย่านตาขาวรัฐชนูปถัมภ์,92,ตรัง,S,2,1,1.5,2.37,2.39,3.5,1.5,2.4,2.4
79371,1,3.28,1,80092,หัวไทรบำรุงราษฎร์,80,นครศรีธรรมราช,S,2,1,3.65,3.05,3.9,3.3,3.7,3.1,3.9
79450,1,3.23,1,81006,พนมเบญจา,81,กระบี่,S,2,2,2.92,2.97,3.66,3.2,2.9,3,3.7
79451,4,3.63,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,S,2,1,3.04,2.66,3.71,3.6,3,2.7,3.7
79459,4,3.14,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,S,2,2,2.62,2.62,3.25,3.1,2.6,2.6,3.3
79468,2,3.38,0,81013,อำมาตย์พานิชนุกูล,81,กระบี่,S,2,2,1.92,3,3.46,3.4,1.9,3,3.5
79482,3,3.15,1,1,บ้านทับวัง,86,ชุมพร,S,2,3,3.22,2.56,3.46,3.2,3.2,2.6,3.5
79490,4,3.82,1,96026,อัตตัรกียะห์อิสลามียะห์,96,นราธิวาส,S,2,1,2.46,2.67,2.89,3.8,2.5,2.7,2.9
79672,1,3.11,1,80701,วิทยาลัยเทคนิคนครศรีธรรมราช,80,นครศรีธรรมราช,S,2,1,2,2.33,2.79,3.1,2,2.3,2.8
79741,0,3,1,80037,ท่าศาลาประสิทธิ์ศึกษา,80,นครศรีธรรมราช,S,2,2,2.18,2.37,3.92,3,2.2,2.4,3.9
79823,0,3.08,0,80002,กัลยาณีศรีธรรมราช,80,นครศรีธรรมราช,S,2,3,2.96,3.47,3.08,3.1,3,3.5,3.1
79895,0,3.5,0,80002,กัลยาณีศรีธรรมราช,80,นครศรีธรรมราช,S,2,1,2.5,2,3.5,3.5,2.5,2,3.5
80009,1,2.87,0,10602,นวมินทราชินูทิศ สตรีวิทยา 2,10,กรุงเทพมหานคร,B,2,3,2.34,2.09,2.66,2.9,2.3,2.1,2.7
80058,0,2.9,1,57701,หัวหิน,77,ประจวบคีรีขันธ์,W,2,1,3.66,3.45,3.33,2.9,3.7,3.5,3.3
80066,0,3.53,1,90005,ควนเนียงวิทยา,90,สงขลา,S,2,2,2.5,2.92,2.4,3.5,2.5,2.9,2.4
80177,3,2.79,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,S,2,1,2.41,2.02,3,2.8,2.4,2,3
80186,1,3.24,1,80066,โยธินบำรุง,80,นครศรีธรรมราช,S,2,2,2.31,3,2.96,3.2,2.3,3,3
80269,1,3.05,1,80906,ปัญญาสารธรรมมูลนิธิ,80,นครศรีธรรมราช,S,2,2,3.4,3.16,2.83,3.1,3.4,3.2,2.8
