S_ID,BRANCH,GPA,RANK,S_ID,S_NAME,P_ID,P_NAME,R_NAME,FEE_NAME,S_PARENT
66140,3,2.05,1,80028,เชียรใหญ่,80,นครศรีธรรมราช,5,0,2
66156,3,2.64,1,91007,ท่าศิลาบำรุงราษฎร์,91,สตูล,5,0,1
66220,0,2.43,1,80006,ขนอมพิทยา,80,นครศรีธรรมราช,5,0,1
66236,1,3.28,0,1083400060,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,83,ภูเก็ต,5,0,2
66244,0,2.54,1,84038,เมืองสุราษฎร์ธานี,84,สุราษฎร์ธานี,5,0,2
66245,0,2.87,0,83007,สตรีภูเก็ต,83,ภูเก็ต,5,0,2
66259,0,2.41,1,84009,เคียนซาพิทยาคม,84,สุราษฎร์ธานี,5,0,2
66278,2,2.45,1,90038,"สะเดา ""ขรรค์ชัยกัมพลานนท์อนุสรณ์""",90,สงขลา,5,0,2
66283,3,3.24,1,80066,โยธินบำรุง,80,นครศรีธรรมราช,5,0,2
66285,2,3.42,0,93029,สตรีพัทลุง,93,พัทลุง,5,0,1
66299,2,2.72,1,80100052,ประทีปศาสน์,80,นครศรีธรรมราช,5,0,2
66300,0,2.53,0,90048,หาดใหญ่วิทยาลัย,90,สงขลา,5,0,3
66322,1,2.47,0,90048,หาดใหญ่วิทยาลัย,90,สงขลา,5,0,2
66306,2,3.11,0,83007,สตรีภูเก็ต,83,ภูเก็ต,5,0,1
66323,1,2.89,0,90048,หาดใหญ่วิทยาลัย,90,สงขลา,5,0,3
66343,2,2.26,1,10,หาดใหญ่เจริญราษฎร์พิทยา,90,สงขลา,5,0,3
66377,0,2.09,1,90044,หาดใหญ่พิทยาคม,90,สงขลา,5,0,1
66388,0,2.24,1,96034,สุคิรินวิทยา,96,นราธิวาส,5,0,2
66420,0,2.32,1,80055,พรหมคีรีพิทยาคม,80,นครศรีธรรมราช,5,0,2
66469,2,2.59,1,80082,สระแก้วรัตนวิทย์,80,นครศรีธรรมราช,5,0,1
66498,2,2.64,0,90031,วรนารีเฉลิม จังหวัดสงขลา,90,สงขลา,5,0,1
66504,2,2.37,1,81001,คลองท่อมราษฎร์รังสรรค์,81,กระบี่,5,0,2
66528,3,3.13,0,80002,กัลยาณีศรีธรรมราช,80,นครศรีธรรมราช,5,0,3
66539,0,2.67,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,5,0,3
66544,2,2.55,0,90048,หาดใหญ่วิทยาลัย,90,สงขลา,5,0,2
66670,2,2.33,1,90028,ระโนดวิทยา,90,สงขลา,5,0,1
66732,1,3.35,1,80111,วิทยาลัยอาชีวศึกษานครศรีธรรมราช,80,นครศรีธรรมราช,5,0,1
66782,0,2.23,1,0,บ้านแป้นพิทยาคม,51,ลำพูน,4,0,1
66789,1,2.42,1,94105,วิทยาลัยอาชีวศึกษาปัตตานี,94,ปัตตานี,5,0,3
66800,3,2.53,1,83940202,มูลนิธิอาซิซสถาน,94,ปัตตานี,5,0,1
66817,3,2.43,1,84026,บ้านนาสาร,84,สุราษฎร์ธานี,5,0,2
66825,3,2.76,1,80067,ร่อนพิบูลย์เกียรติวสุนธราภิวัฒก์,80,นครศรีธรรมราช,5,0,2
66826,2,2.1,1,84012011,เตรียมอุดมศึกษาพัฒนาการ สุราษฎร์ธานี,84,สุราษฎร์ธานี,5,0,1
66845,2,2.6,1,84110,วิทยาลัยอาชีวศึกษาสุราษฎร์ธานี,84,สุราษฎร์ธานี,5,0,3
66848,2,2.73,1,83104,วิทยาลัยอาชีวะศึกษาภูเก็ต,83,ภูเก็ต,5,0,1
66864,2,2.5,0,82007,"ตะกั่วป่า""เสนานุกูล""",82,พังงา,5,0,2
66867,0,2.9,1,5,ศูนย์การศึกษานอกโรงเรียนจังหวัดปัตตานี,94,ปัตตานี,5,0,1
66875,2,2.58,1,83104,วิทยาลัยอาชีวะศึกษาภูเก็ต,83,ภูเก็ต,5,0,1
66882,2,3.21,1,83104,วิทยาลัยอาชีวะศึกษาภูเก็ต,83,ภูเก็ต,5,0,2
66886,1,2.8,1,80063,มุสลิมสันติธรรมมูลนิธิ,80,นครศรีธรรมราช,5,0,1
66894,0,2.51,1,83104,วิทยาลัยอาชีวะศึกษาภูเก็ต,83,ภูเก็ต,5,0,2
66912,0,2.63,1,80054,ปากพูน,80,นครศรีธรรมราช,5,0,1
66927,0,2.43,1,99840001,เทศบาล 5,84,สุราษฎร์ธานี,5,0,3
66946,2,2.22,1,84110,วิทยาลัยอาชีวศึกษาสุราษฎร์ธานี,84,สุราษฎร์ธานี,5,0,3
66952,2,2.73,1,94105,วิทยาลัยอาชีวศึกษาปัตตานี,94,ปัตตานี,5,0,1
66953,2,2.31,0,91011,พิมานพิทยาสรรค์,91,สตูล,5,0,0
66994,1,2.45,1,80111,วิทยาลัยอาชีวศึกษานครศรีธรรมราช,80,นครศรีธรรมราช,5,0,2
66999,2,2.16,1,7,ศูนย์บริการการศึกษานอกโรงเรียนอำเภอระโนด,90,สงขลา,5,0,2
67029,2,2.87,0,99840040,ธิดาแม่พระ,84,สุราษฎร์ธานี,5,0,3
67035,2,3.33,1,80118,วิทยาลัยศิลปหัตถกรรมนครศรีธรรมราช,80,นครศรีธรรมราช,5,0,2
67051,1,2.89,1,90117,บริหารธุรกิจวิทยา,90,สงขลา,5,0,2
67052,0,3.28,0,410102,สตรีราชินูทิศ,41,อุดรธานี,3,0,3
67059,3,2.87,1,80018,ฉวางรัชดาภิเษก,80,นครศรีธรรมราช,5,0,2
67064,2,2.97,1,84102,ศูนย์บริการการศึกษานอกโรงเรียนอำเภอเมืองสุราษฏร์ธานี,84,สุราษฎร์ธานี,5,0,1
67066,0,2.44,1,99840033,พะตงวิทยามูลนิธิ,90,สงขลา,5,0,1
67123,2,3.27,1,84012,ดอนสักผดุงวิทย์,84,สุราษฎร์ธานี,5,0,1
67125,3,3.59,1,93106,วิทยาลัยเทคนิคพัทลุง,93,พัทลุง,5,0,3
67151,2,3.09,1,82009,ท้ายเหมืองวิทยา,82,พังงา,5,0,2
67205,1,3.08,0,1083400060,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,83,ภูเก็ต,5,0,3
67224,2,2.68,1,80018,ฉวางรัชดาภิเษก,80,นครศรีธรรมราช,5,0,1
67230,2,2.98,1,99840033,พะตงวิทยามูลนิธิ,90,สงขลา,5,0,1
67232,3,2.86,1,80701,วิทยาลัยเทคนิคนครศรีธรรมราช,80,นครศรีธรรมราช,5,0,3
