BRANCH,F_NAME,GPA,ENTRY-GPA,SEMESTER,S_TYPE,R_NAME,OUTLAY,ENTRYNAME,CHOICENAME
MTA,INFO,A,A,3,โรงเรียนทั่วไป,ภาคใต้,BDA,Admission,"มากกว่า 25,000 บาทต่อเดือน"
DCA,INFO,C,B,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,Admission,"มากกว่า 25,000 บาทต่อเดือน"
DCA,INFO,C,C,3,โรงเรียนทั่วไป,ภาคใต้,BDA,Admission,"12,500-25,000 บาทต่อเดือน"
DCM,INFO,B,C,1,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
IT,INFO,C,C,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,C,C,2,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
DCA,INFO,C,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,B,A,2,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,B,C,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,A,A,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
DCA,INFO,C,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
DCA,INFO,B,C,2,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
DCA,INFO,A,C,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,C,B,2,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,B,A,2,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
DCM,INFO,C,B,1,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,C,C,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
IT,INFO,B,A,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,A,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"มากกว่า 25,000 บาทต่อเดือน"
MTA,INFO,B,A,1,โรงเรียนมีชื่อเสียง,กรุงเทพฯและปริมณฑล,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,B,C,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
DCM,INFO,C,C,1,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
IT,INFO,C,C,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
DCA,INFO,C,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
DCM,INFO,B,C,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
DCM,INFO,C,C,3,โรงเรียนทั่วไป,ภาคตะวันตก,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,C,C,1,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,โควตาทั่วประเทศ,ไม่มีรายได้
DCA,INFO,B,A,2,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตาทั่วประเทศ,"มากกว่า 25,000 บาทต่อเดือน"
DCA,INFO,B,C,3,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตาทั่วประเทศ,"น้อยกว่า 12,500 บาทต่อเดือน"
DCA,INFO,C,C,3,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตาทั่วประเทศ,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,C,C,1,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตาทั่วประเทศ,"12,500-25,000 บาทต่อเดือน"
DCA,INFO,B,C,2,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตาทั่วประเทศ,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,A,C,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,โควตาทั่วประเทศ,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,A,A,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,โควตาทั่วประเทศ,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,A,C,3,โรงเรียนทั่วไป,ภาคตะวันตก,BDA,โควตาทั่วประเทศ,"มากกว่า 25,000 บาทต่อเดือน"
IT,INFO,A,C,3,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตาทั่วประเทศ,"มากกว่า 25,000 บาทต่อเดือน"
IT,INFO,C,B,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,โควตาทั่วประเทศ,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,A,A,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,โควตาทั่วประเทศ,"มากกว่า 25,000 บาทต่อเดือน"
MTA,INFO,C,C,2,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตาทั่วประเทศ,"มากกว่า 25,000 บาทต่อเดือน"
DCM,INFO,A,C,3,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตาทั่วประเทศ,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,A,B,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,โควตาทั่วประเทศ,"มากกว่า 25,000 บาทต่อเดือน"
DCA,INFO,B,C,2,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตาทั่วประเทศ,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,B,C,3,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตาทั่วประเทศ,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,A,A,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,โควตาทั่วประเทศ,"มากกว่า 25,000 บาทต่อเดือน"
DCM,INFO,A,B,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,โควตาทั่วประเทศ,"มากกว่า 25,000 บาทต่อเดือน"
MTA,INFO,A,A,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,โควตาทั่วประเทศ,"มากกว่า 25,000 บาทต่อเดือน"
MTA,INFO,B,A,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,โควตาทั่วประเทศ,"12,500-25,000 บาทต่อเดือน"
DCA,INFO,C,C,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,โควตาทั่วประเทศ,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,A,B,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,โควตาทั่วประเทศ,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,B,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตาทั่วประเทศ,"มากกว่า 25,000 บาทต่อเดือน"
DCA,INFO,B,A,2,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตาทั่วประเทศ,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,B,C,2,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตาทั่วประเทศ,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,B,B,2,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตาทั่วประเทศ,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,B,C,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,โควตาทั่วประเทศ,"12,500-25,000 บาทต่อเดือน"
DCA,INFO,B,A,2,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตาทั่วประเทศ,"12,500-25,000 บาทต่อเดือน"
DCA,INFO,B,B,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,โควตาทั่วประเทศ,"12,500-25,000 บาทต่อเดือน"
DCA,INFO,C,C,3,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตาทั่วประเทศ,"12,500-25,000 บาทต่อเดือน"
IT,INFO,B,C,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,โควตาทั่วประเทศ,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,C,C,1,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตาทั่วประเทศ,"12,500-25,000 บาทต่อเดือน"
DCA,INFO,B,A,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,ผู้มีความสามารถด้านกิจกรรมนักศึกษา,"น้อยกว่า 12,500 บาทต่อเดือน"
DCA,INFO,B,A,2,โรงเรียนทั่วไป,ภาคใต้,BDA,ผู้มีความสามารถด้านกิจกรรมนักศึกษา,"12,500-25,000 บาทต่อเดือน"
DCA,INFO,A,A,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,ผู้มีความสามารถด้านกิจกรรมนักศึกษา,"มากกว่า 25,000 บาทต่อเดือน"
DCA,INFO,B,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,ผู้มีความสามารถด้านกิจกรรมนักศึกษา,"มากกว่า 25,000 บาทต่อเดือน"
DCM,INFO,A,C,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,ผู้มีความสามารถด้านกิจกรรมนักศึกษา,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,B,B,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,โครงการเด็กดีมีที่เรียน,"มากกว่า 25,000 บาทต่อเดือน"
DCA,INFO,A,B,2,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
DCA,INFO,C,B,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,B,A,2,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,B,B,3,โรงเรียนมีชื่อเสียง,กรุงเทพฯและปริมณฑล,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
DCA,INFO,B,B,2,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
DCA,INFO,B,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,A,B,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,C,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
DCA,INFO,A,B,2,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
DCA,INFO,A,B,2,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,B,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"มากกว่า 25,000 บาทต่อเดือน"
MTA,INFO,A,A,2,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,C,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
DCM,INFO,A,A,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"มากกว่า 25,000 บาทต่อเดือน"
MTA,INFO,C,B,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,รับตรง,"มากกว่า 25,000 บาทต่อเดือน"
MTA,INFO,B,B,2,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,A,B,2,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
DCM,INFO,A,A,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,รับตรง,"มากกว่า 25,000 บาทต่อเดือน"
IT,INFO,A,A,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"มากกว่า 25,000 บาทต่อเดือน"
MTA,INFO,B,B,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,รับตรง,ไม่มีรายได้
DCA,INFO,C,A,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
DCA,INFO,B,B,2,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"มากกว่า 25,000 บาทต่อเดือน"
DCA,INFO,C,B,2,โรงเรียนทั่วไป,ภาคตะวันออก,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
DCM,INFO,B,B,3,โรงเรียนมีชื่อเสียง,ภาคตะวันออก,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,C,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"มากกว่า 25,000 บาทต่อเดือน"
DCA,INFO,B,B,2,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"มากกว่า 25,000 บาทต่อเดือน"
DCA,INFO,A,B,2,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
DCM,INFO,B,B,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
DCA,INFO,C,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
IT,INFO,B,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
IT,INFO,B,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
DCM,INFO,B,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,B,B,2,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
IT,INFO,C,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,A,A,2,โรงเรียนทั่วไป,ภาคใต้,BDA,โครงการเก่ง ดี มีสุข,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,A,A,2,โรงเรียนทั่วไป,ภาคใต้,BDA,โครงการเก่ง ดี มีสุข,"มากกว่า 25,000 บาทต่อเดือน"
MTA,INFO,C,A,2,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตาทั่วประเทศ,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,A,A,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,A,A,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
DCA,INFO,B,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
DCM,INFO,B,B,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,B,C,2,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตาทั่วประเทศ,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,B,B,2,โรงเรียนทั่วไป,ภาคใต้,BDA,โควตาทั่วประเทศ,"น้อยกว่า 12,500 บาทต่อเดือน"
DCA,INFO,B,A,2,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,ไม่มีรายได้
DCA,INFO,A,B,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,รับตรง,"มากกว่า 25,000 บาทต่อเดือน"
DCA,INFO,B,C,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,โครงการส่งเสริมนักเรียนที่มีความสามารถเข้าศึกษาต่อสำนักวิชาINFO (กลุ่ม1),"มากกว่า 25,000 บาทต่อเดือน"
DCA,INFO,C,B,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
DCA,INFO,B,C,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,Admission,"12,500-25,000 บาทต่อเดือน"
IT,INFO,A,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
IT,INFO,A,A,3,โรงเรียนทั่วไป,ภาคใต้,BDA,Admission,"12,500-25,000 บาทต่อเดือน"
DCA,INFO,C,A,2,โรงเรียนทั่วไป,ภาคตะวันออกเฉียงเหนือ,BDA,Admission,"น้อยกว่า 12,500 บาทต่อเดือน"
IT,INFO,B,C,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,Admission,"น้อยกว่า 12,500 บาทต่อเดือน"
DCA,INFO,A,A,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,Admission,"มากกว่า 25,000 บาทต่อเดือน"
IT,INFO,B,C,3,โรงเรียนทั่วไป,ภาคตะวันตก,BDA,Admission,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,A,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"มากกว่า 25,000 บาทต่อเดือน"
MTA,INFO,B,B,2,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"มากกว่า 25,000 บาทต่อเดือน"
DCM,INFO,B,A,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDB,โครงการเด็กดีมีที่เรียน,"12,500-25,000 บาทต่อเดือน"
DCA,INFO,A,B,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"มากกว่า 25,000 บาทต่อเดือน"
MTA,INFO,A,B,2,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"มากกว่า 25,000 บาทต่อเดือน"
DCA,INFO,A,B,2,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,B,A,2,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"12,500-25,000 บาทต่อเดือน"
DCA,INFO,A,B,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,B,B,3,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,B,A,3,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"12,500-25,000 บาทต่อเดือน"
DCA,INFO,A,A,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"มากกว่า 25,000 บาทต่อเดือน"
MTA,INFO,B,A,3,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"น้อยกว่า 12,500 บาทต่อเดือน"
DCA,INFO,B,B,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"12,500-25,000 บาทต่อเดือน"
DCA,INFO,B,B,2,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,A,A,2,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,B,B,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"12,500-25,000 บาทต่อเดือน"
DCM,INFO,A,A,3,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,B,A,2,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"มากกว่า 25,000 บาทต่อเดือน"
DCA,INFO,A,B,2,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,A,A,2,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,A,B,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,B,B,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"มากกว่า 25,000 บาทต่อเดือน"
DCA,INFO,A,B,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"มากกว่า 25,000 บาทต่อเดือน"
IT,INFO,A,B,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,A,A,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDB,โควตาโรงเรียนมาตรฐาน,"น้อยกว่า 12,500 บาทต่อเดือน"
IT,INFO,A,B,3,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"น้อยกว่า 12,500 บาทต่อเดือน"
DCA,INFO,B,B,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,B,A,2,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,B,B,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"มากกว่า 25,000 บาทต่อเดือน"
MTA,INFO,A,A,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,B,B,2,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,A,A,2,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,A,B,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"มากกว่า 25,000 บาทต่อเดือน"
IT,INFO,B,B,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"มากกว่า 25,000 บาทต่อเดือน"
MTA,INFO,B,B,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"12,500-25,000 บาทต่อเดือน"
DCA,INFO,B,B,2,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,A,B,2,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"มากกว่า 25,000 บาทต่อเดือน"
DCM,INFO,B,B,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,B,A,2,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"น้อยกว่า 12,500 บาทต่อเดือน"
DCM,INFO,A,A,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"12,500-25,000 บาทต่อเดือน"
IT,INFO,A,B,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"มากกว่า 25,000 บาทต่อเดือน"
MTA,INFO,A,A,2,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"มากกว่า 25,000 บาทต่อเดือน"
DCA,INFO,B,B,2,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,B,A,2,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"น้อยกว่า 12,500 บาทต่อเดือน"
DCM,INFO,A,A,3,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"มากกว่า 25,000 บาทต่อเดือน"
DCM,INFO,A,A,3,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"มากกว่า 25,000 บาทต่อเดือน"
MTA,INFO,A,A,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"มากกว่า 25,000 บาทต่อเดือน"
DCA,INFO,A,A,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"12,500-25,000 บาทต่อเดือน"
IT,INFO,A,A,3,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,B,B,2,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,ไม่มีรายได้
MTA,INFO,B,B,2,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"12,500-25,000 บาทต่อเดือน"
DCA,INFO,B,B,2,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"น้อยกว่า 12,500 บาทต่อเดือน"
DCA,INFO,B,B,2,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,A,A,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,A,A,2,โรงเรียนทั่วไป,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"น้อยกว่า 12,500 บาทต่อเดือน"
IT,INFO,A,A,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,A,B,2,โรงเรียนมีชื่อเสียง,ภาคใต้,BDB,รับตรงทั่วประเทศด้วย Portfolio,"12,500-25,000 บาทต่อเดือน"
