BRANCH,F_NAME,GPA,ENTRY-GPA,SEMESTER,S_TYPE,R_NAME,OUTLAY,ENTRYNAME,CHOICENAME
DCA,INFO,B,B,2,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,B,C,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,A,A,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
DCM,INFO,B,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
DCA,INFO,B,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
DCA,INFO,B,B,2,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,C,B,1,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
DCA,INFO,C,A,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"มากกว่า 25,000 บาทต่อเดือน"
MTA,INFO,C,A,2,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"มากกว่า 25,000 บาทต่อเดือน"
MTA,INFO,B,A,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,C,C,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,รับตรง,ไม่มีรายได้
DCM,INFO,C,C,1,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,A,A,1,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,รับตรง,"มากกว่า 25,000 บาทต่อเดือน"
DCM,INFO,C,C,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,C,A,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,B,A,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,รับตรง,"มากกว่า 25,000 บาทต่อเดือน"
MTA,INFO,A,A,2,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
DCM,INFO,B,C,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
DCA,INFO,A,A,3,โรงเรียนมีชื่อเสียง,ภาคตะวันออกเฉียงเหนือ,BDA,รับตรง,"มากกว่า 25,000 บาทต่อเดือน"
IT,INFO,B,C,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
MTA,INFO,B,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
DCA,INFO,C,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
