SD_ID,BRANCH,F_ID,F_NAME,GPA,ENTRY-GPA,STATUS,ADMITACADYEAR,ACADYEAR,SEMESTER,STUDENTSTATUS.STUDENTSTATUS,S_NAME,S_TYPE,PID,P_NAME,R_NAME,OUTLAY,ENTRYNAME,CHOICENAME,,,,
65513,DCA,22,INFO,3.1,2.46,40,2559,2562,3,40,ศรีธรรมราชศึกษา,โรงเรียนทั่วไป,80,นครศรีธรรมราช,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"มากกว่า 25,000 บาทต่อเดือน",,,2559/3,155
65525,IT,22,INFO,3.47,2.36,40,2559,2562,3,40,ชะอวด,โรงเรียนทั่วไป,80,นครศรีธรรมราช,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน",,,,
65526,MTA,22,INFO,2.15,2.07,40,2559,2564,2,40,สตรีทุ่งสง,โรงเรียนมีชื่อเสียง,80,นครศรีธรรมราช,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน",,,,
65535,DCM,22,INFO,3.29,3.14,40,2559,2562,3,40,ศรีธรรมราชศึกษา,โรงเรียนทั่วไป,80,นครศรีธรรมราช,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน",,,,
65593,DCA,22,INFO,2.16,2.55,40,2559,2563,2,40,เมืองสุราษฎร์ธานี,โรงเรียนทั่วไป,84,สุราษฎร์ธานี,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน",,,,
65611,DCA,22,INFO,2.63,2.38,40,2559,2562,2,40,สุไหงโก-ลก,โรงเรียนทั่วไป,96,นราธิวาส,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"มากกว่า 25,000 บาทต่อเดือน",,,,
65613,DCA,22,INFO,2.06,1.98,40,2559,2563,2,40,กัลยาณีศรีธรรมราช,โรงเรียนมีชื่อเสียง,80,นครศรีธรรมราช,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"มากกว่า 25,000 บาทต่อเดือน",,,,
65618,IT,22,INFO,2.1,2.52,40,2559,2562,3,40,ทีปราษฎร์พิทยา,โรงเรียนทั่วไป,84,สุราษฎร์ธานี,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"มากกว่า 25,000 บาทต่อเดือน",,,,
65619,DCA,22,INFO,2.61,2.29,40,2559,2562,2,40,ปากพนัง,โรงเรียนทั่วไป,80,นครศรีธรรมราช,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน",,,,
65628,MTA,22,INFO,2.92,2.74,40,2559,2562,3,40,สุราษฎร์พิทยา,โรงเรียนทั่วไป,84,สุราษฎร์ธานี,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน",,,,
65630,DCA,22,INFO,3.2,2.82,40,2559,2562,3,40,เทพมิตรศึกษา,โรงเรียนทั่วไป,84,สุราษฎร์ธานี,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน",,,2559/2,
65631,MTA,22,INFO,3.16,3.55,40,2559,2562,3,40,วิเชียรมาตุ,โรงเรียนมีชื่อเสียง,92,ตรัง,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน",,,,
65632,MTA,22,INFO,2.92,2.81,40,2559,2562,3,40,วิเชียรมาตุ,โรงเรียนมีชื่อเสียง,92,ตรัง,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน",,,,
65645,IT,22,INFO,2.85,2.17,40,2559,2562,3,40,สตรีทุ่งสง,โรงเรียนมีชื่อเสียง,80,นครศรีธรรมราช,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน",,,,
65647,MTA,22,INFO,2.12,2.92,40,2559,2562,3,40,เทศบาล 5,โรงเรียนทั่วไป,84,สุราษฎร์ธานี,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"มากกว่า 25,000 บาทต่อเดือน",,,,
65675,IT,22,INFO,3.85,3.46,40,2559,2562,2,40,ศรีธรรมราชศึกษา,โรงเรียนทั่วไป,80,นครศรีธรรมราช,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"มากกว่า 25,000 บาทต่อเดือน",,,,
65679,DCA,22,INFO,2.09,2.45,40,2559,2562,2,40,แหลมราษฎร์บำรุง,โรงเรียนทั่วไป,80,นครศรีธรรมราช,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน",,,,
65682,IT,22,INFO,2.9,2.28,40,2559,2562,3,40,ท่าศาลาประสิทธิ์ศึกษา,โรงเรียนทั่วไป,80,นครศรีธรรมราช,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน",,,,
65687,MTA,22,INFO,2.5,2.44,40,2559,2562,3,40,เขาชัยสน,โรงเรียนทั่วไป,93,พัทลุง,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน",,,,
65690,DCA,22,INFO,3.22,2.5,40,2559,2562,2,40,ตรังคริสเตียนศึกษา,โรงเรียนทั่วไป,92,ตรัง,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"มากกว่า 25,000 บาทต่อเดือน",,,,
